IE_XML_ID;IE_NAME;IP_PROP30;IP_PROP31;IP_PROP32;CP_QUANTITY;CR_PRICE_1_USD
605;Ремень Класика;black;;XL;100;17.3
451;Спортивный Костюм Дыхание Спорта;white;;XL;100;38.23
550;Туфли Ультра Лайн;brown;35.0;;100;40.69
498;Туфли Вечерняя Бабочка;purple;37.0;;100;43.6
553;Туфли Ультра Лайн;brown;37.0;;100;40.69
251;Штаны Цветочная Поляна;green;;S;100;31.97
472;Домашние Тапочки Розовый Рай;pink;39.0;;100;17.43
589;Ремень Радуга;brown;;XL;100;5.67
562;Ремень Радуга;purple;;XS;100;5.67
220;Штаны Жизнь в Абстракции;orangered;;M;100;27.61
576;Ремень Радуга;pink;;XS;100;5.67
612;Ремень Элегантность;brown;;L;100;10.61
266;Платье Весенняя Легкость;purple;;XL;100;43.6
264;Платье Весенняя Легкость;purple;;L;100;43.6
361;Футболка Мужская Чистота;white;;L;100;11.62
461;Спортивный Костюм Вечерний Спорт;white;;XS;100;39.24
481;Домашние Тапочки Любимый Спорт;brown;38.0;;100;14.52
225;Штаны Цветочная Поляна;purple;;L;100;31.97
433;Спортивный Костюм Элегантность в Ночи;black;;XL;100;36.78
198;Штаны Полосатый Рейс;brown;;S;100;29.06
467;Домашние Тапочки Розовый Рай;pink;35.0;;100;17.43
632;Ремень Плетение;red;;XL;100;10.9
431;Спортивный Костюм Элегантность в Ночи;black;;L;100;36.78
539;Туфли Ультра Лайн;red;37.0;;100;40.69
196;Штаны Полосатый Рейс;brown;;XS;100;29.06
625;Ремень Строчка;brown;;M;100;11.62
189;Штаны Полосатый Рейс;green;;XS;100;29.06
282;Платье Красная Фея;red;;L;99;58.13
532;Туфли Ультра Лайн;white;37.0;;100;40.69
582;Ремень Радуга;blue;;XL;100;5.67
242;Штаны Цветочная Поляна;red;;XS;100;31.97
596;Ремень Радуга;green;;XL;100;5.67
348;Нижнее белье Розовое Смущенье;pink;;S;100;17.43
606;Ремень Класика;black;;XS;100;17.3
382;Футболка Женская Ночь;black;;XS;100;11.03
575;Ремень Радуга;pink;;XL;100;5.67
444;Спортивный Костюм Розовый Вихрь;pink;;M;100;37.36
534;Туфли Ультра Лайн;white;39.0;;100;40.69
453;Спортивный Костюм Дыхание Спорта;white;;M;100;38.23
489;Туфли Летняя Легкость;white;37.0;;100;29.06
616;Ремень Элегантность;brown;;M;100;10.61
541;Туфли Ультра Лайн;red;39.0;;100;40.69
286;Платье Красная Фея;red;;M;99;58.13
259;Платье Модница на Прогулке;blue;;M;0;72.67
347;Нижнее белье Розовое Смущенье;pink;;M;100;17.43
337;Нижнее белье Огонек в Ночи;black;;XS;100;21.79
513;Туфли Полет Валькирии;blue;35.0;;100;36.33
410;Спортивный Костюм Нежная Теплота;azure;;M;100;33.87
635;Ремень Плетение;red;;S;100;10.9
470;Домашние Тапочки Розовый Рай;pink;37.0;;100;17.43
205;Штаны Полосатый Рейс;blue;;S;100;29.06
246;Штаны Цветочная Поляна;green;;L;100;31.97
568;Ремень Радуга;see;;XL;100;5.67
384;Футболка Женская Ночь;black;;S;100;11.03
303;Нижнее белье Белая Свобода;white;;XS;100;20.34
334;Нижнее белье Огонек в Ночи;black;;L;100;21.79
495;Туфли Вечерняя Бабочка;purple;35.0;;100;43.6
522;Туфли Ультра Лайн;jeans;35.0;;100;40.69
420;Спортивный Костюм Огонь в Ночи;black;;S;100;36.33
524;Туфли Ультра Лайн;jeans;36.0;;100;40.69
463;Спортивный Костюм Вечерний Спорт;white;;S;100;39.24
415;Спортивный Костюм Огонь в Ночи;black;;L;100;36.33
285;Платье Красная Фея;red;;XS;100;58.13
500;Туфли Вечерняя Бабочка;purple;39.0;;100;43.6
614;Ремень Элегантность;brown;;XL;100;10.61
462;Спортивный Костюм Вечерний Спорт;white;;M;100;39.24
325;Нижнее белье Ночь Морозных Узоров;black;;L;100;21.21
339;Нижнее белье Огонек в Ночи;black;;S;100;21.79
570;Ремень Радуга;see;;M;100;5.67
241;Штаны Цветочная Поляна;red;;XL;100;31.97
598;Ремень Радуга;green;;M;100;5.67
402;Футболка Женский Соблазн;white;;S;100;12.34
506;Пантолеты Кости на Пляже;black;36.0;;100;13.07
302;Нижнее белье Белая Свобода;white;;XL;99;20.34
343;Нижнее белье Розовое Смущенье;pink;;L;100;17.43
260;Платье Модница на Прогулке;blue;;S;0;72.67
641;Ремень Грубая Кожа;brown;;XL;100;10.39
545;Туфли Ультра Лайн;flowers;36.0;;100;40.69
255;Платье Модница на Прогулке;blue;;L;100;72.67
227;Штаны Цветочная Поляна;purple;;XL;100;31.97
363;Футболка Мужская Чистота;white;;XL;100;11.62
491;Туфли Летняя Легкость;white;39.0;;100;29.06
278;Платье Ночная Жизнь;black;;S;100;65.4
296;Нижнее белье Морская Волна;see;;S;100;18.88
515;Туфли Полет Валькирии;blue;36.0;;100;36.33
400;Футболка Женский Соблазн;white;;XS;100;12.34
458;Спортивный Костюм Вечерний Спорт;white;;L;100;39.24
