Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-07-19,6309,,2397,3996,7699,3777,2647,5665,
2012-10-14,587,,287,443,852,503,65,952,
2012-07-14,4206,,1244,2441,4284,1562,2900,4252,
2012-05-08,1864,,630,1100,2327,970,1066,2268,
2012-08-27,4314,,2273,3098,5196,2762,1010,3598,
2012-06-20,5713,,2402,3524,6848,3510,2363,4852,
2012-08-15,4297,,1882,2936,4948,2686,970,3877,
2012-07-20,5813,,2088,3744,6959,3316,2538,5775,
2012-06-23,3753,,1326,1842,3992,1910,2585,4824,
2012-08-03,348,,6,238,530,270,9,9,
2012-09-13,6520,,3076,4369,7514,4494,1986,5742,
2012-09-26,3948,,1873,2720,4755,3119,650,3721,
2012-07-09,6186,,2720,4153,7323,3886,2051,6104,
2012-04-09,4225,,1934,3057,5275,3006,894,3868,
2012-10-10,3115,,1537,2081,3681,2608,560,2703,
2012-10-03,182,,13,162,296,165,0,58,
2012-04-14,2890,,1072,1639,2994,1594,1284,3428,
2012-07-15,3035,,1060,1798,3437,1449,2034,3545,
2012-04-18,3570,,1751,2759,4655,2534,706,3542,
2012-03-24,753,,336,517,1001,635,277,1035,
